1cte:0.0827816,etheta:-0.757131,cmd_vel.linear.x:0,cmd_vel.angular.z:0
2cte:0.0825704,etheta:-0.763747,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.102874
3cte:0.0825055,etheta:-0.763662,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.10131
4cte:0.0825126,etheta:-0.763582,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.10131
5cte:0.0837206,etheta:-0.759172,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.101527
6cte:0.083694,etheta:-0.75905,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.0637485
7cte:0.0835233,etheta:-0.758622,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.064045
8cte:0.0845418,etheta:-0.77271,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.0648245
9cte:0.0846347,etheta:-0.775273,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.085526
10cte:0.0880858,etheta:-0.775505,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.0781585
11cte:0.0762403,etheta:-0.76527,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.027489
12cte:0.0792742,etheta:-0.754793,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.0407055
13cte:0.0701752,etheta:-0.755888,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.115814
14cte:0.0513679,etheta:-0.74255,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.0123934
15cte:0.0477518,etheta:-0.761174,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.0214927
16cte:0.0647922,etheta:-0.764432,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.134944
17cte:0.0490187,etheta:-0.753089,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.256147
18cte:0.0579857,etheta:-0.723453,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.274086
19cte:0.0387041,etheta:-0.707631,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.176568
20cte:0.0458571,etheta:-0.655063,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.199586
21cte:0.0182444,etheta:-0.633797,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.0112158
22cte:0.025279,etheta:-0.648623,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.00443718
23cte:0.0153048,etheta:-0.674485,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.196202
24cte:0.0026898,etheta:-0.668593,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.407371
25cte:0.0286248,etheta:-0.591844,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.419388
26cte:0.0136137,etheta:-0.583281,cmd_vel.linear.x:1,cmd_vel.angular.z:0.160862
27cte:0.00473957,etheta:-0.670662,cmd_vel.linear.x:1,cmd_vel.angular.z:0.174994
28cte:0.0403867,etheta:-0.661167,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.345006
29cte:0.0338811,etheta:-0.658447,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.126023
30cte:0.0399216,etheta:-0.661743,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.123502
31cte:0.0264767,etheta:-0.6504,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.116091
32cte:0.0260622,etheta:-0.645758,cmd_vel.linear.x:0.8,cmd_vel.angular.z:-0.120397
